,sort,prep,length,time
0,bubble_sort,sorted,1,4.00003045797348e-07
1,bubble_sort,sorted,10,3.5999983083456755e-06
2,bubble_sort,sorted,100,0.0002212999970652163
3,bubble_sort,sorted,1000,0.02936819999013096
4,selection_sort,sorted,1,4.00003045797348e-07
5,selection_sort,sorted,10,2.500019036233425e-06
6,selection_sort,sorted,100,0.00010109998402185738
7,selection_sort,sorted,1000,0.011952700006077066
8,insertion_sort,sorted,1,1.00000761449337e-07
9,insertion_sort,sorted,10,1.00000761449337e-07
10,insertion_sort,sorted,100,1.00000761449337e-07
11,insertion_sort,sorted,1000,1.00000761449337e-07
12,insertion_sort,sorted,10000,1.00000761449337e-07
13,insertion_sort,sorted,100000,5.00003807246685e-07
14,insertion_sort,sorted,1000000,1.600012183189392e-06
15,built_in_sorted,sorted,1,3.00002284348011e-07
16,built_in_sorted,sorted,10,3.00002284348011e-07
17,built_in_sorted,sorted,100,9.999785106629133e-07
18,built_in_sorted,sorted,1000,5.3000112529844046e-06
19,built_in_sorted,sorted,10000,5.530001362785697e-05
20,built_in_sorted,sorted,100000,0.0011565999884624034
21,built_in_sorted,sorted,1000000,0.04029340000124648
22,quadratic_garbage,sorted,1,3.00002284348011e-07
23,quadratic_garbage,sorted,10,3.6999990697950125e-06
24,quadratic_garbage,sorted,100,0.0002770999853964895
25,quadratic_garbage,sorted,1000,0.03235080000013113
26,bubble_sort,reverse_sorted,1,4.00003045797348e-07
27,bubble_sort,reverse_sorted,10,4.4000043999403715e-06
28,bubble_sort,reverse_sorted,100,0.0002914000069722533
29,bubble_sort,reverse_sorted,1000,0.03784120001364499
30,selection_sort,reverse_sorted,1,4.00003045797348e-07
31,selection_sort,reverse_sorted,10,2.700020559132099e-06
32,selection_sort,reverse_sorted,100,0.00011850000009872019
33,selection_sort,reverse_sorted,1000,0.014079099986702204
34,insertion_sort,reverse_sorted,1,1.00000761449337e-07
35,insertion_sort,reverse_sorted,10,1.00000761449337e-07
36,insertion_sort,reverse_sorted,100,1.00000761449337e-07
37,insertion_sort,reverse_sorted,1000,1.00000761449337e-07
38,insertion_sort,reverse_sorted,10000,1.00000761449337e-07
39,insertion_sort,reverse_sorted,100000,3.00002284348011e-07
40,insertion_sort,reverse_sorted,1000000,1.700012944638729e-06
41,built_in_sorted,reverse_sorted,1,2.999731805175543e-07
42,built_in_sorted,reverse_sorted,10,4.00003045797348e-07
43,built_in_sorted,reverse_sorted,100,1.100008375942707e-06
44,built_in_sorted,reverse_sorted,1000,1.0000017937272787e-05
45,built_in_sorted,reverse_sorted,10000,9.590000263415277e-05
46,built_in_sorted,reverse_sorted,100000,0.0013464000076055527
47,built_in_sorted,reverse_sorted,1000000,0.045856500015361235
48,quadratic_garbage,reverse_sorted,1,2.00001522898674e-07
49,quadratic_garbage,reverse_sorted,10,3.8000289350748062e-06
50,quadratic_garbage,reverse_sorted,100,0.0002747999969869852
51,quadratic_garbage,reverse_sorted,1000,0.03218139999080449
52,bubble_sort,unchanged,1,4.00003045797348e-07
53,bubble_sort,unchanged,10,4.0000013541430235e-06
54,bubble_sort,unchanged,100,0.00028139998903498054
55,bubble_sort,unchanged,1000,0.03545890000532381
56,selection_sort,unchanged,1,3.00002284348011e-07
57,selection_sort,unchanged,10,2.700020559132099e-06
58,selection_sort,unchanged,100,0.00011140000424347818
59,selection_sort,unchanged,1000,0.012665899994317442
60,insertion_sort,unchanged,1,1.00000761449337e-07
61,insertion_sort,unchanged,10,0.0
62,insertion_sort,unchanged,100,1.00000761449337e-07
63,insertion_sort,unchanged,1000,1.00000761449337e-07
64,insertion_sort,unchanged,10000,1.00000761449337e-07
65,insertion_sort,unchanged,100000,1.00000761449337e-07
66,insertion_sort,unchanged,1000000,6.999762263149023e-07
67,built_in_sorted,unchanged,1,2.00001522898674e-07
68,built_in_sorted,unchanged,10,4.00003045797348e-07
69,built_in_sorted,unchanged,100,3.6999990697950125e-06
70,built_in_sorted,unchanged,1000,6.389999180100858e-05
71,built_in_sorted,unchanged,10000,0.0008951000054366887
72,built_in_sorted,unchanged,100000,0.010545400000410154
73,quadratic_garbage,unchanged,1,3.00002284348011e-07
74,quadratic_garbage,unchanged,10,3.7999998312443495e-06
75,quadratic_garbage,unchanged,100,0.00028300000121816993
76,quadratic_garbage,unchanged,1000,0.034799199987901375
