algorithm,n,time
grade_school_multiply,4,4.0000013541430235e-05
grade_school_multiply,8,0.00012310000602155924
grade_school_multiply,16,0.00042810000013560057
grade_school_multiply,32,0.0016576999914832413
grade_school_multiply,64,0.007157099986216053
grade_school_multiply,128,0.02675019999151118
grade_school_multiply,256,0.11058140001841821
grade_school_multiply,512,0.4727798999811057
grade_school_multiply,1024,1.8974191999877803
divide_and_conquer_multiply,4,3.809999907389283e-05
divide_and_conquer_multiply,8,0.0001472999865654856
divide_and_conquer_multiply,16,0.0006190999993123114
divide_and_conquer_multiply,32,0.0023249999794643372
divide_and_conquer_multiply,64,0.009840199985774234
divide_and_conquer_multiply,128,0.03841979999560863
divide_and_conquer_multiply,256,0.15369200002169237
divide_and_conquer_multiply,512,0.6268439999839757
divide_and_conquer_multiply,1024,2.5726458999852184
karatsuba,4,0.0001500000071246177
karatsuba,8,0.00041629999759607017
karatsuba,16,0.0012950999953318387
karatsuba,32,0.004276699997717515
karatsuba,64,0.012783900019712746
karatsuba,128,0.03848590000416152
karatsuba,256,0.11721830000169575
karatsuba,512,0.35356459999457
karatsuba,1024,1.0676477999950293
